latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.89279,2.2920206,36.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm)
2023-01-01T00:00,14.8,54,0.00
2023-01-01T01:00,15.2,52,0.00
2023-01-01T02:00,15.0,53,0.00
2023-01-01T03:00,14.5,56,0.00
2023-01-01T04:00,14.3,59,0.00
2023-01-01T05:00,13.8,62,0.00
2023-01-01T06:00,13.7,64,0.00
2023-01-01T07:00,13.2,69,0.00
2023-01-01T08:00,12.7,75,0.20
2023-01-01T09:00,12.7,75,0.00
2023-01-01T10:00,13.0,74,0.00
2023-01-01T11:00,12.7,76,0.00
2023-01-01T12:00,12.0,88,0.00
2023-01-01T13:00,11.9,91,0.80
2023-01-01T14:00,11.7,92,1.30
2023-01-01T15:00,12.1,90,0.20
2023-01-01T16:00,12.0,89,0.60
2023-01-01T17:00,11.9,88,0.70
2023-01-01T18:00,12.2,85,0.00
2023-01-01T19:00,12.6,83,0.00
2023-01-01T20:00,14.1,75,0.00
2023-01-01T21:00,15.0,68,0.00
2023-01-01T22:00,15.1,68,0.00
2023-01-01T23:00,14.4,76,0.20
2023-01-02T00:00,13.6,82,0.30
2023-01-02T01:00,13.0,84,0.30
2023-01-02T02:00,12.4,85,0.60
2023-01-02T03:00,11.9,86,0.50
2023-01-02T04:00,11.6,88,0.20
2023-01-02T05:00,11.3,88,0.80
2023-01-02T06:00,10.6,91,2.60
2023-01-02T07:00,10.4,91,0.90
2023-01-02T08:00,10.2,92,0.50
2023-01-02T09:00,10.2,93,0.10
2023-01-02T10:00,10.8,88,0.00
2023-01-02T11:00,11.0,85,0.00
2023-01-02T12:00,10.4,89,0.00
2023-01-02T13:00,11.0,85,0.10
2023-01-02T14:00,10.9,84,0.10
2023-01-02T15:00,10.5,86,0.00
2023-01-02T16:00,9.0,89,0.00
2023-01-02T17:00,7.6,89,0.00
2023-01-02T18:00,7.2,89,0.00
2023-01-02T19:00,6.9,90,0.00
2023-01-02T20:00,6.6,91,0.00
2023-01-02T21:00,6.2,92,0.00
2023-01-02T22:00,5.8,94,0.00
2023-01-02T23:00,5.7,94,0.00
2023-01-03T00:00,6.3,95,0.00
2023-01-03T01:00,5.8,96,0.00
2023-01-03T02:00,6.1,95,0.00
2023-01-03T03:00,6.0,95,0.00
2023-01-03T04:00,5.9,95,0.00
2023-01-03T05:00,5.8,94,0.00
2023-01-03T06:00,5.8,94,0.00
2023-01-03T07:00,5.7,94,0.00
2023-01-03T08:00,5.6,94,0.00
2023-01-03T09:00,6.5,92,0.00
2023-01-03T10:00,7.9,91,0.00
2023-01-03T11:00,9.0,88,0.00
2023-01-03T12:00,8.9,86,0.00
2023-01-03T13:00,9.4,85,0.00
2023-01-03T14:00,9.8,83,0.00
2023-01-03T15:00,9.9,83,0.00
2023-01-03T16:00,8.9,88,0.00
2023-01-03T17:00,8.7,88,0.00
2023-01-03T18:00,8.6,89,0.00
2023-01-03T19:00,9.2,86,0.00
2023-01-03T20:00,9.4,88,0.60
2023-01-03T21:00,9.4,89,0.60
2023-01-03T22:00,9.5,89,0.80
2023-01-03T23:00,9.6,89,0.60
2023-01-04T00:00,9.8,90,0.50
2023-01-04T01:00,9.9,90,0.40
2023-01-04T02:00,10.1,88,0.00
2023-01-04T03:00,10.5,87,0.00
2023-01-04T04:00,10.7,87,0.00
2023-01-04T05:00,10.8,87,0.10
2023-01-04T06:00,11.0,88,0.00
2023-01-04T07:00,11.2,88,0.00
2023-01-04T08:00,11.0,90,0.00
2023-01-04T09:00,12.2,86,0.10
2023-01-04T10:00,12.0,89,0.10
2023-01-04T11:00,12.9,85,0.00
2023-01-04T12:00,12.5,90,0.10
2023-01-04T13:00,12.7,90,0.40
2023-01-04T14:00,12.9,89,0.00
2023-01-04T15:00,13.0,89,0.00
2023-01-04T16:00,12.9,89,0.00
2023-01-04T17:00,12.8,90,0.00
2023-01-04T18:00,12.9,89,0.00
2023-01-04T19:00,12.8,88,0.00
2023-01-04T20:00,12.9,89,0.00
2023-01-04T21:00,13.1,87,0.00
2023-01-04T22:00,13.2,86,0.00
2023-01-04T23:00,13.0,87,0.00
2023-01-05T00:00,12.8,87,0.40
2023-01-05T01:00,12.4,89,0.10
2023-01-05T02:00,12.5,90,0.10
2023-01-05T03:00,12.5,86,0.00
2023-01-05T04:00,11.9,87,0.00
2023-01-05T05:00,12.2,86,0.00
2023-01-05T06:00,11.9,89,0.00
2023-01-05T07:00,12.4,90,0.00
2023-01-05T08:00,12.4,91,0.00
2023-01-05T09:00,12.6,90,0.00
2023-01-05T10:00,13.7,83,0.00
2023-01-05T11:00,13.7,85,0.00
2023-01-05T12:00,13.6,85,0.00
2023-01-05T13:00,13.6,83,0.00
2023-01-05T14:00,13.4,82,0.00
2023-01-05T15:00,13.0,81,0.00
2023-01-05T16:00,12.4,82,0.00
2023-01-05T17:00,12.1,82,0.00
2023-01-05T18:00,11.8,82,0.00
2023-01-05T19:00,11.4,83,0.00
2023-01-05T20:00,11.1,86,0.00
2023-01-05T21:00,11.2,86,0.00
2023-01-05T22:00,11.1,87,0.00
2023-01-05T23:00,11.0,87,0.00
2023-01-06T00:00,10.9,84,0.00
2023-01-06T01:00,9.6,89,0.00
2023-01-06T02:00,10.7,83,0.00
2023-01-06T03:00,10.7,81,0.00
2023-01-06T04:00,10.8,83,0.00
2023-01-06T05:00,10.1,90,0.00
2023-01-06T06:00,10.4,90,0.00
2023-01-06T07:00,10.8,88,0.00
2023-01-06T08:00,10.2,91,0.00
2023-01-06T09:00,11.6,85,0.00
2023-01-06T10:00,12.2,82,0.00
2023-01-06T11:00,12.9,79,0.00
2023-01-06T12:00,12.5,78,0.00
2023-01-06T13:00,12.8,77,0.00
2023-01-06T14:00,12.9,77,0.00
2023-01-06T15:00,13.0,77,0.00
2023-01-06T16:00,12.5,79,0.00
